# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,1.69,
1.0,1.81,
2.0,1.88,
3.0,1.91,
4.0,1.92,
5.0,1.92,
6.0,1.95,
7.0,2.11,
8.0,2.19,
9.0,2.25,
10.0,2.22,
11.0,2.24,
12.0,2.23,
13.0,2.24,
14.0,2.24,
15.0,2.25,
16.0,2.27,
17.0,2.27,
18.0,2.3,
19.0,2.26,
20.0,2.28,
21.0,2.24,
22.0,2.25,
23.0,2.26,
24.0,2.26,
25.0,2.28,
26.0,2.26,
27.0,2.26,
28.0,2.26,
29.0,2.26,
30.0,2.26,
31.0,2.3,
32.0,2.29,
33.0,2.25,
34.0,2.15,
35.0,2.15,
36.0,2.17,
37.0,2.17,
38.0,2.17,
39.0,2.18,
40.0,2.19,
41.0,2.16,
42.0,2.16,
43.0,2.17,
44.0,2.17,
45.0,2.17,
46.0,2.16,
47.0,2.18,
48.0,2.18,
49.0,2.2,
50.0,2.25,
51.0,2.28,
52.0,2.4,
53.0,2.74,
54.0,2.56,
55.0,2.58,
56.0,2.5,
57.0,2.89,
58.0,2.53,
59.0,2.59,
60.0,2.51,
61.0,3.15,
62.0,4.67,
63.0,2.62,
64.0,2.5,
65.0,2.5,
66.0,2.88,
67.0,2.5,
68.0,2.57,
69.0,2.51,
70.0,2.72,
71.0,2.5,
72.0,2.61,
73.0,2.5,
74.0,3.07,
75.0,4.63,
76.0,2.63,
77.0,2.5,
78.0,2.5,
79.0,2.72,
80.0,2.48,
81.0,2.59,
82.0,2.51,
83.0,2.79,
84.0,2.5,
85.0,2.57,
86.0,2.51,
87.0,2.88,
88.0,4.33,
89.0,3.74,
90.0,2.48,
91.0,2.73,
92.0,2.44,
93.0,2.51,
94.0,2.56,
95.0,2.75,
96.0,2.47,
97.0,2.52,
98.0,2.56,
99.0,2.73,
100.0,2.46,
101.0,3.96,
102.0,3.74,
103.0,2.51,
104.0,2.45,
105.0,2.57,
106.0,2.71,
107.0,2.78,
108.0,2.54,
109.0,2.59,
110.0,2.59,
