# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,2.61,
1.0,2.67,
2.0,2.69,
3.0,2.7,
4.0,2.7,
5.0,2.7,
6.0,2.79,
7.0,2.89,
8.0,2.9,
9.0,3.06,
10.0,2.77,
11.0,2.91,
12.0,2.81,
13.0,3.02,
14.0,2.73,
15.0,2.8,
16.0,3.77,
17.0,4.33,
18.0,3.27,
19.0,2.88,
20.0,2.76,
21.0,2.79,
22.0,2.73,
23.0,2.83,
24.0,2.75,
25.0,2.76,
26.0,2.71,
27.0,2.75,
28.0,2.82,
29.0,3.43,
30.0,5.0,
31.0,2.86,
32.0,2.65,
33.0,2.68,
34.0,2.9,
35.0,2.61,
36.0,2.69,
37.0,2.71,
38.0,2.89,
39.0,2.62,
40.0,2.73,
41.0,2.65,
42.0,3.02,
43.0,4.43,
44.0,3.87,
45.0,2.73,
46.0,2.89,
47.0,2.6,
48.0,2.7,
49.0,2.73,
50.0,2.79,
51.0,2.69,
52.0,2.72,
53.0,2.69,
54.0,2.61,
55.0,2.75,
56.0,3.55,
57.0,4.98,
58.0,2.73,
59.0,2.64,
60.0,2.71,
61.0,2.76,
62.0,2.89,
63.0,2.95,
64.0,3.36,
65.0,2.89,
66.0,3.04,
67.0,4.02,
68.0,3.63,
69.0,3.19,
70.0,2.93,
71.0,2.88,
72.0,2.89,
73.0,3.06,
74.0,2.66,
75.0,2.69,
76.0,2.69,
