# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,5.59,
1.0,4.34,
2.0,4.43,
3.0,4.62,
4.0,4.59,
5.0,4.57,
6.0,4.56,
7.0,4.85,
8.0,4.78,
9.0,4.75,
10.0,4.79,
11.0,4.77,
12.0,4.85,
13.0,4.75,
14.0,4.71,
15.0,4.92,
16.0,4.54,
17.0,4.62,
18.0,5.9,
19.0,5.66,
20.0,4.41,
21.0,4.67,
22.0,4.32,
23.0,4.41,
24.0,4.45,
25.0,4.41,
26.0,4.68,
27.0,4.35,
28.0,4.48,
29.0,4.44,
30.0,5.22,
31.0,5.59,
32.0,4.32,
33.0,4.33,
34.0,4.38,
35.0,4.43,
36.0,4.34,
37.0,4.67,
38.0,4.37,
39.0,4.39,
40.0,4.4,
41.0,4.42,
42.0,4.6,
43.0,6.61,
44.0,4.88,
45.0,4.27,
46.0,4.29,
47.0,4.31,
48.0,4.4,
49.0,4.32,
50.0,4.43,
51.0,4.46,
52.0,4.44,
53.0,4.72,
54.0,4.43,
55.0,6.39,
56.0,4.35,
57.0,4.37,
58.0,4.36,
59.0,4.5,
60.0,4.51,
61.0,4.53,
62.0,5.31,
63.0,5.94,
64.0,4.47,
65.0,4.66,
66.0,4.5,
67.0,4.5,
68.0,4.5,
