# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,2.7,
1.0,2.8,
2.0,2.81,
3.0,2.9,
4.0,2.9,
5.0,2.89,
6.0,2.98,
7.0,3.26,
8.0,2.73,
9.0,3.1,
10.0,2.91,
11.0,2.92,
12.0,3.3,
13.0,3.28,
14.0,3.32,
15.0,3.52,
16.0,3.21,
17.0,3.34,
18.0,3.27,
19.0,3.57,
20.0,3.22,
21.0,3.29,
22.0,4.0,
23.0,5.5,
24.0,3.45,
25.0,3.32,
26.0,3.28,
27.0,3.48,
28.0,3.2,
29.0,3.33,
30.0,3.26,
31.0,3.32,
32.0,3.25,
33.0,3.3,
34.0,3.45,
35.0,3.17,
36.0,4.61,
37.0,4.42,
38.0,3.51,
39.0,3.16,
40.0,3.23,
41.0,3.29,
42.0,3.47,
43.0,3.17,
44.0,3.3,
45.0,3.23,
46.0,3.58,
47.0,3.17,
48.0,3.23,
49.0,4.01,
50.0,5.53,
51.0,3.5,
52.0,3.27,
53.0,3.24,
54.0,3.58,
55.0,3.19,
56.0,3.25,
57.0,3.3,
58.0,3.52,
59.0,3.16,
60.0,3.29,
61.0,3.21,
62.0,3.39,
63.0,4.91,
64.0,4.46,
65.0,3.25,
66.0,3.2,
67.0,3.32,
68.0,3.42,
69.0,3.48,
70.0,3.54,
71.0,3.79,
72.0,4.09,
73.0,5.06,
74.0,5.53,
75.0,5.85,
76.0,6.08,
77.0,5.7,
78.0,6.27,
79.0,6.27,
80.0,5.3,
81.0,5.32,
82.0,5.19,
83.0,5.17,
84.0,5.34,
85.0,4.86,
86.0,4.74,
87.0,4.73,
88.0,5.06,
89.0,5.48,
90.0,5.53,
91.0,5.6,
92.0,5.59,
93.0,5.59,
