# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,0.88,
1.0,0.88,
2.0,0.88,
3.0,0.88,
4.0,0.88,
5.0,0.88,
6.0,0.88,
7.0,1.2,
8.0,1.27,
9.1,1.35,
10.1,1.35,
11.1,1.35,
12.1,1.35,
13.1,1.35,
14.1,1.34,
15.1,1.32,
16.1,1.32,
17.1,1.32,
18.1,1.32,
19.1,1.32,
20.1,1.33,
21.1,1.4,
22.1,1.44,
23.1,1.67,
24.1,1.75,
25.1,1.79,
26.1,1.86,
27.1,1.88,
28.2,2.07,
29.2,1.9,
30.2,1.84,
31.2,1.91,
32.2,1.89,
33.2,2.0,
34.2,2.02,
35.2,2.22,
36.2,2.05,
37.2,1.99,
38.2,2.11,
39.2,2.02,
40.2,2.84,
41.2,4.07,
42.2,3.33,
43.2,2.11,
44.2,2.14,
45.2,2.48,
46.2,2.24,
47.2,2.15,
48.2,2.22,
49.2,2.17,
50.2,2.31,
51.3,2.33,
52.3,2.53,
53.3,2.36,
54.3,2.3,
55.3,2.42,
56.3,2.35,
57.3,2.43,
58.3,2.47,
59.3,2.65,
60.3,2.5,
61.3,2.6,
62.3,4.26,
63.3,3.55,
64.3,2.32,
65.3,2.36,
66.3,2.41,
67.3,2.43,
68.3,2.45,
69.3,2.48,
70.3,2.63,
71.3,2.53,
72.3,2.47,
73.3,2.55,
74.4,2.52,
75.4,2.64,
76.4,2.66,
77.4,2.65,
78.4,2.69,
79.4,2.9,
80.4,2.76,
81.4,2.78,
82.4,4.55,
83.4,3.95,
84.4,2.72,
85.4,2.76,
86.4,2.74,
87.4,2.83,
88.4,3.06,
89.4,2.88,
90.4,2.82,
91.4,2.94,
92.4,2.88,
93.4,2.95,
94.4,2.93,
95.5,3.04,
96.5,3.06,
97.5,3.06,
98.5,3.09,
99.5,3.44,
100.5,3.16,
101.5,3.06,
102.5,4.65,
103.5,4.37,
104.5,3.14,
105.5,3.18,
106.5,3.21,
107.5,3.2,
108.5,3.39,
109.5,3.44,
110.5,3.47,
111.5,3.31,
112.5,3.32,
113.5,3.32,
114.6,3.32,
