# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,3.32,
1.0,3.32,
2.0,3.32,
3.0,3.32,
4.0,3.32,
5.0,3.32,
6.0,1.67,
7.0,1.79,
8.0,1.81,
9.0,1.87,
10.0,1.9,
11.1,1.96,
12.1,1.9,
13.1,2.0,
14.1,2.2,
15.1,2.08,
16.1,2.08,
17.1,2.11,
18.1,2.16,
19.1,2.18,
20.1,3.49,
21.1,3.39,
22.1,2.16,
23.1,2.17,
24.1,2.23,
25.1,2.27,
26.1,2.34,
27.1,2.54,
28.1,2.37,
29.1,2.37,
30.1,2.44,
31.1,2.43,
32.1,2.47,
33.1,2.53,
34.2,2.46,
35.2,2.54,
36.2,2.57,
37.2,4.63,
38.2,2.7,
39.2,2.65,
40.2,2.64,
41.2,2.64,
42.2,2.9,
43.2,2.73,
44.2,2.73,
45.2,2.8,
46.2,2.8,
47.2,2.76,
48.2,2.89,
49.2,2.83,
50.2,2.9,
51.2,2.94,
52.2,3.01,
53.2,3.27,
54.2,5.35,
55.2,3.29,
56.2,3.02,
57.3,3.06,
58.3,3.09,
59.3,3.15,
60.3,3.17,
61.3,3.16,
62.3,3.2,
63.3,3.25,
64.3,3.19,
65.3,3.3,
66.3,3.53,
67.3,3.37,
68.3,3.37,
69.3,3.4,
70.3,4.43,
71.3,4.67,
72.3,3.48,
73.3,3.5,
74.3,3.45,
75.3,3.55,
76.3,3.66,
77.3,3.7,
78.3,3.84,
79.3,4.83,
80.4,5.12,
81.4,4.82,
82.4,4.87,
83.4,4.93,
84.4,4.89,
85.4,5.05,
86.4,5.04,
87.4,4.75,
88.4,4.75,
89.4,4.75,
