# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,8.52,
1.0,6.51,
2.0,6.51,
3.0,6.51,
4.0,6.51,
5.0,6.51,
6.0,6.51,
7.0,6.17,
8.1,3.68,
9.1,3.75,
10.1,3.73,
11.1,3.86,
12.1,3.96,
13.1,3.87,
14.1,4.13,
15.1,3.94,
16.1,3.99,
17.1,4.04,
18.1,3.99,
19.1,4.01,
20.1,4.06,
21.1,4.04,
22.1,6.05,
23.1,4.41,
24.1,4.17,
25.1,4.51,
26.1,4.18,
27.1,4.27,
28.1,4.26,
29.2,4.33,
30.2,4.35,
31.2,4.3,
32.2,4.32,
33.2,4.37,
34.2,4.35,
35.2,4.48,
36.2,4.59,
37.2,4.49,
38.2,5.03,
39.2,5.74,
40.2,4.51,
41.2,4.55,
42.2,4.58,
43.2,4.56,
44.2,4.69,
45.2,4.61,
46.2,4.7,
47.2,5.1,
48.2,4.77,
49.2,4.82,
50.2,4.86,
51.3,4.82,
52.3,4.84,
53.3,4.89,
54.3,4.87,
55.3,6.88,
56.3,5.46,
57.3,5.0,
58.3,5.2,
59.3,5.01,
60.3,5.05,
61.3,5.08,
62.3,5.16,
63.3,5.08,
64.3,5.13,
65.3,5.15,
66.3,5.2,
67.3,5.26,
68.3,5.33,
69.3,5.49,
70.3,5.32,
71.3,6.09,
72.3,6.57,
73.4,5.34,
74.4,5.29,
75.4,5.41,
76.4,5.51,
77.4,5.62,
78.4,5.66,
79.4,5.96,
80.4,7.41,
81.4,5.08,
82.5,5.06,
83.5,4.95,
84.5,4.95,
85.5,4.95,
