# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,4.55,
1.0,4.55,
2.0,4.55,
3.0,4.55,
4.0,4.55,
5.0,4.55,
6.0,4.66,
7.0,5.59,
8.0,5.53,
9.1,5.46,
10.1,5.41,
11.1,5.52,
12.1,5.52,
13.1,5.46,
14.1,5.48,
15.1,5.67,
16.1,5.52,
17.1,5.41,
18.1,5.46,
19.1,5.41,
20.1,5.52,
21.1,5.52,
22.1,5.53,
23.1,5.48,
24.1,5.41,
25.1,6.78,
26.1,6.67,
27.1,5.42,
28.1,5.54,
29.2,5.41,
30.2,5.45,
31.2,5.39,
32.2,5.51,
33.2,5.51,
34.2,5.51,
35.2,5.47,
36.2,5.54,
37.2,5.51,
38.2,5.39,
39.2,5.45,
40.2,5.47,
41.2,5.51,
42.2,5.51,
43.2,5.63,
44.2,5.45,
45.2,5.39,
46.2,6.58,
47.2,6.66,
48.2,6.07,
49.2,5.54,
50.3,5.39,
51.3,5.45,
52.3,5.47,
53.3,5.51,
54.3,5.51,
55.3,5.68,
56.3,5.47,
57.3,5.39,
58.3,5.51,
59.3,5.51,
60.3,5.68,
61.3,5.47,
62.3,5.39,
63.3,5.51,
64.3,5.39,
65.3,5.45,
66.3,5.47,
67.3,5.95,
68.3,7.5,
69.4,5.97,
70.4,5.54,
71.4,5.54,
72.4,5.45,
73.4,5.47,
74.4,5.66,
75.4,5.51,
76.4,5.39,
77.4,5.45,
78.4,5.39,
79.4,5.51,
80.4,5.51,
81.4,5.45,
82.4,5.47,
83.4,5.66,
84.4,5.51,
85.4,5.39,
86.4,5.45,
87.4,5.39,
88.4,6.5,
89.4,6.66,
90.5,5.75,
91.5,5.54,
92.5,5.38,
93.5,5.46,
94.5,5.57,
95.5,5.62,
96.5,5.65,
97.5,5.71,
98.5,5.93,
99.5,6.32,
100.5,7.32,
101.5,8.26,
102.5,8.41,
103.5,8.58,
104.5,8.16,
105.5,8.41,
106.5,8.3,
107.5,7.4,
108.6,6.91,
109.6,7.18,
110.6,7.18,
111.6,7.04,
112.6,7.17,
113.6,7.4,
114.6,7.66,
115.6,8.67,
116.6,8.69,
117.6,8.69,
118.6,8.69,
119.6,8.69,
