# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,1.0,0.11
1.1,1.0,0.11
2.1,1.01,0.11
3.2,1.01,0.11
4.2,1.01,0.11
5.2,1.01,0.11
6.3,1.01,0.11
7.3,1.51,0.11
8.3,1.63,0.11
9.4,1.82,0.22
10.4,1.85,0.22
11.4,1.85,0.22
12.4,1.85,0.22
13.5,1.85,0.22
14.5,1.85,0.22
15.5,1.85,0.22
16.5,1.85,0.22
17.6,1.85,0.22
18.6,1.85,0.22
19.6,1.85,0.22
20.6,1.85,0.22
21.7,1.85,0.22
22.7,1.85,0.22
23.7,1.85,0.22
24.8,1.85,0.22
25.8,1.85,0.22
26.8,1.85,0.22
27.8,1.85,0.22
28.9,1.85,0.22
29.9,1.85,0.22
30.9,1.85,0.22
32.0,1.85,0.22
33.0,1.85,0.22
34.0,1.85,0.22
35.0,1.85,0.22
36.1,1.85,0.22
37.1,1.85,0.22
38.1,1.85,0.22
39.2,1.85,0.22
40.2,1.85,0.22
41.2,1.85,0.22
42.3,1.85,0.22
43.3,1.85,0.22
44.3,1.85,0.22
45.4,1.85,0.22
46.4,1.85,0.22
47.5,1.85,0.22
48.5,1.85,0.22
49.5,1.85,0.22
50.6,1.85,0.22
51.6,1.85,0.22
52.6,1.88,0.22
53.7,1.88,0.22
54.7,1.93,0.22
55.7,1.93,0.22
56.9,1.95,0.22
58.0,2.96,0.22
59.3,3.01,0.22
60.3,3.05,0.22
61.7,3.75,0.22
62.7,3.82,0.22
63.9,4.2,0.22
65.1,4.16,0.22
66.2,4.21,0.22
67.7,4.24,0.22
68.9,4.28,0.22
70.0,4.32,0.22
71.2,4.38,0.22
72.3,5.41,0.22
73.3,5.66,0.22
74.5,5.72,0.22
75.6,5.86,0.22
76.6,6.13,0.22
77.8,6.25,0.22
78.8,6.28,0.32
79.8,6.22,1.88
80.8,3.11,2.06
81.9,3.11,2.45
82.9,3.18,2.42
83.9,3.22,2.42
84.9,3.25,2.42
86.0,3.07,2.42
87.0,3.02,2.42
88.1,2.62,2.42
90.2,2.47,2.42
91.3,2.43,2.42
