# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,2.43,2.42
1.0,2.68,2.42
2.1,3.42,2.42
3.1,3.71,2.42
4.3,3.72,0.54
5.3,3.72,0.54
6.5,3.72,0.54
7.5,3.73,0.54
8.5,3.73,0.54
9.6,3.73,0.54
10.6,3.73,0.54
11.6,3.73,0.54
12.6,3.73,0.54
14.0,3.73,0.54
15.0,0.59,0.11
16.1,0.73,0.11
17.1,0.89,0.11
18.2,0.93,0.11
19.2,0.95,0.11
20.2,0.99,0.11
21.2,1.02,0.11
22.3,1.05,0.11
23.3,1.07,0.11
24.3,1.2,0.22
25.4,1.29,0.22
26.4,2.09,0.22
27.4,4.44,0.22
28.4,4.79,1.85
29.5,2.1,2.42
30.5,2.57,2.42
31.5,2.93,2.32
32.5,4.32,2.32
33.6,4.6,0.54
34.6,4.6,0.54
