# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,4.6,0.54
1.0,4.6,0.54
2.1,4.6,0.54
3.7,4.6,0.54
4.8,4.6,0.54
5.8,4.6,0.54
6.8,4.6,0.54
7.8,5.18,0.54
8.9,5.06,0.54
9.9,7.11,2.61
10.9,5.53,4.01
11.9,6.04,4.29
13.0,7.26,4.29
14.0,7.99,4.29
15.0,8.38,4.29
16.0,8.28,4.29
17.1,8.5,4.29
18.1,7.99,4.29
19.1,8.38,4.29
20.1,7.44,4.29
21.2,7.07,3.86
22.2,6.95,3.86
23.2,7.23,3.86
24.2,7.73,3.86
25.3,7.59,3.86
26.3,7.67,3.86
27.3,8.3,3.86
28.3,8.3,3.86
29.4,8.65,3.86
30.4,9.01,3.86
31.4,9.01,3.86
32.5,9.01,3.86
33.5,9.01,3.86
34.5,9.01,3.86
35.5,9.01,3.86
