# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,5.89,0.73
1.0,5.89,0.73
2.1,5.89,0.73
3.1,5.89,0.73
4.1,5.89,0.73
5.1,5.89,0.73
6.2,5.9,0.73
7.2,6.21,0.73
8.2,5.45,2.2
9.2,5.47,3.23
10.3,5.48,3.45
11.3,5.49,3.58
12.3,5.49,3.73
13.3,5.49,3.73
14.4,5.49,3.73
15.4,5.49,3.73
16.4,5.49,3.73
17.4,5.49,3.73
18.5,5.49,3.73
19.5,5.49,3.76
20.5,5.49,3.76
21.6,5.49,3.76
22.6,5.49,3.76
23.6,5.49,3.76
24.6,5.49,3.76
25.7,5.49,3.76
26.7,5.49,3.76
27.7,5.49,3.76
28.8,5.49,3.79
29.8,5.49,3.83
30.8,5.49,3.83
31.8,5.49,3.83
32.9,5.12,2.98
33.9,5.2,2.98
34.9,5.28,2.98
36.0,5.35,2.98
37.0,5.43,2.98
38.0,5.5,2.98
39.0,5.69,2.98
40.1,5.75,2.98
41.1,5.75,2.98
42.1,5.75,2.98
43.1,5.75,2.98
