# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,3.8,
1.1,3.8,
2.1,3.81,
3.1,3.79,
4.1,3.79,
5.2,3.79,
6.2,3.78,
7.3,3.74,
8.3,3.73,
9.4,3.73,
10.4,3.73,
11.4,3.73,
12.5,3.73,
13.6,3.73,
14.6,3.72,
15.7,3.71,
16.7,3.72,
17.8,3.72,
18.8,3.71,
19.8,3.67,
20.9,3.65,
21.9,3.71,
22.9,3.48,
24.0,3.44,
25.1,3.5,
26.1,3.58,
27.1,3.66,
28.1,3.72,
29.2,3.69,
30.2,3.67,
31.2,3.65,
32.3,3.61,
33.4,3.45,
34.4,3.34,
35.5,3.18,
36.6,3.11,
37.7,3.03,
38.7,2.95,
39.8,2.86,
40.8,2.81,
41.9,2.79,
43.0,2.75,
44.0,2.71,
45.1,2.68,
46.1,2.64,
47.2,3.07,
48.2,3.22,
49.2,3.87,
50.2,4.17,
51.3,3.65,
52.4,3.05,
53.4,3.05,
54.4,3.06,
55.5,3.07,
56.6,3.69,
57.6,4.33,
58.7,4.38,
59.7,4.4,
60.7,4.38,
61.8,4.37,
62.8,4.33,
63.8,4.33,
64.9,4.2,
66.0,3.87,
67.0,3.79,
68.1,3.8,
69.2,3.82,
70.2,3.76,
71.2,3.74,
72.3,3.76,
73.4,3.05,
74.4,2.92,
75.4,2.73,
76.5,2.7,
77.6,2.75,
78.6,2.65,
