# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,0.85,
1.2,0.86,
2.2,0.87,
3.4,0.84,
4.5,0.84,
5.6,0.83,
6.6,0.52,
7.8,0.62,
8.8,0.66,
10.0,0.74,
11.0,0.8,
12.1,0.89,
13.3,0.97,
14.4,0.97,
15.5,0.79,
16.7,0.79,
17.9,0.6,
18.9,0.47,
20.0,0.32,
21.2,0.32,
22.2,0.31,
23.5,0.3,
24.6,0.29,
25.7,0.26,
26.9,0.09,
28.1,0.09,
29.2,0.06,
30.3,0.03,
31.6,0.03,
32.8,0.03,
34.0,0.03,
35.1,0.03,
36.3,0.02,
37.3,0.02,
38.4,0.02,
39.5,0.02,
40.6,0.02,
41.6,0.02,
42.7,0.02,
44.2,0.03,
45.2,0.03,
46.4,0.04,
47.4,0.04,
48.5,0.04,
49.5,0.13,
50.6,0.14,
51.8,0.18,
52.9,0.19,
54.1,0.19,
55.1,0.19,
56.2,0.15,
57.4,0.15,
58.4,0.15,
59.5,0.16,
60.6,0.16,
61.6,0.15,
62.8,0.15,
64.0,0.15,
65.1,0.15,
66.3,0.15,
67.4,0.15,
68.6,0.15,
69.6,0.12,
70.7,0.13,
71.9,0.14,
73.0,0.14,
74.1,0.15,
75.2,0.15,
76.4,0.16,
77.5,0.17,
78.6,0.19,
79.7,0.19,
80.9,0.2,
82.0,0.18,
83.2,0.17,
84.3,0.17,
85.4,0.17,
86.5,0.18,
87.7,0.17,
88.8,0.07,
89.9,0.08,
91.0,0.1,
92.1,0.11,
93.2,0.13,
94.3,0.15,
95.3,0.15,
96.3,0.16,
97.5,0.16,
98.6,0.18,
99.7,0.16,
100.9,0.18,
102.0,0.18,
103.0,0.17,
104.1,0.15,
105.2,0.16,
106.4,0.17,
107.5,0.23,
108.6,0.41,
109.8,0.68,
110.9,0.9,
111.9,0.9,
