# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,2.33,
1.0,2.28,
2.1,2.13,
3.3,2.1,
4.4,1.85,
5.5,2.16,
6.6,2.25,
7.7,1.97,
8.8,2.1,
10.0,2.34,
11.0,2.41,
12.1,2.71,
13.2,3.02,
14.2,3.29,
15.2,3.49,
16.3,3.45,
17.4,3.3,
18.5,3.05,
19.5,2.85,
20.5,2.77,
21.7,2.69,
22.7,2.61,
23.9,2.57,
25.0,2.54,
26.1,2.49,
27.2,2.45,
28.3,3.06,
29.4,3.99,
30.6,3.47,
31.7,3.07,
32.8,2.91,
33.9,3.02,
35.0,3.21,
36.1,4.2,
37.2,4.2,
38.2,4.19,
39.3,4.18,
40.4,4.16,
41.5,4.12,
42.6,4.14,
43.7,3.48,
44.8,3.26,
45.9,3.14,
46.9,3.02,
48.1,2.49,
49.2,2.92,
50.2,3.6,
51.3,2.77,
52.3,2.51,
53.4,2.31,
54.5,2.47,
55.6,2.54,
56.6,2.46,
57.8,2.46,
58.9,2.54,
60.0,2.47,
61.2,2.44,
62.2,2.43,
63.4,2.42,
