# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,0.43,
1.1,0.43,
2.2,0.43,
3.3,0.44,
4.4,0.44,
5.6,0.44,
6.7,0.44,
7.9,0.44,
9.0,0.44,
10.1,0.55,
11.2,0.79,
12.4,0.78,
13.5,0.78,
14.5,0.54,
15.6,1.38,
16.7,1.25,
17.9,1.37,
19.0,1.45,
20.0,1.84,
21.2,1.68,
22.3,1.68,
23.4,1.68,
24.4,1.52,
25.6,1.35,
26.7,1.18,
27.8,1.04,
29.0,1.04,
30.1,0.95,
31.2,0.55,
32.4,0.37,
33.4,0.22,
34.6,0.21,
35.6,0.07,
36.7,0.07,
37.7,0.07,
38.7,0.07,
39.9,0.08,
40.9,0.08,
42.1,0.09,
43.2,0.07,
44.7,0.07,
45.9,0.07,
46.9,0.07,
48.1,0.07,
49.3,0.07,
50.9,0.02,
52.2,0.02,
53.3,0.03,
54.5,0.06,
55.6,0.07,
56.7,0.07,
57.8,0.07,
58.9,0.07,
60.1,0.07,
61.2,0.07,
62.3,0.07,
63.3,0.07,
64.4,0.07,
65.4,0.07,
66.4,0.09,
67.5,0.08,
68.6,0.08,
69.7,0.08,
70.9,0.08,
71.9,0.08,
73.0,0.08,
74.0,0.08,
75.1,0.08,
76.3,0.08,
77.3,0.08,
78.5,0.03,
79.6,0.03,
80.8,0.03,
81.9,0.04,
83.0,0.08,
84.0,0.09,
85.2,0.1,
86.3,0.1,
87.5,0.1,
88.5,0.1,
89.7,0.11,
90.8,0.12,
91.9,0.13,
93.1,0.15,
94.2,0.16,
95.4,0.17,
96.5,0.16,
97.6,0.15,
98.7,0.18,
99.9,0.66,
101.1,0.69,
102.2,0.94,
103.4,0.91,
104.4,1.09,
105.6,1.19,
106.6,1.42,
107.7,1.48,
108.8,1.25,
110.0,1.52,
111.1,1.45,
112.1,1.56,
113.3,1.48,
114.4,1.58,
115.6,1.31,
116.7,1.11,
117.9,1.26,
119.1,1.26,
120.2,1.39,
121.3,1.21,
122.6,1.22,
123.8,1.1,
124.9,1.32,
126.1,1.08,
127.1,0.85,
128.2,1.32,
129.3,1.17,
130.5,1.22,
131.6,1.35,
132.8,2.35,
133.9,2.4,
135.1,2.43,
136.1,2.25,
137.1,1.67,
138.2,1.88,
139.3,1.87,
140.5,2.14,
141.6,2.52,
142.7,1.8,
143.8,1.97,
144.9,1.57,
145.9,1.78,
147.1,1.96,
148.3,1.78,
149.3,1.7,
150.4,1.56,
151.6,1.51,
152.7,1.46,
