# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.63,
1.0,4.66,
2.0,4.78,
3.0,4.88,
4.0,4.87,
5.0,4.82,
6.0,4.85,
7.0,4.85,
8.0,4.85,
9.0,4.89,
10.0,5.09,
11.0,5.14,
12.0,5.18,
13.0,5.29,
14.0,5.63,
15.0,6.0,
16.0,6.34,
17.0,6.7,
18.0,7.04,
19.0,7.37,
20.0,7.57,
21.0,7.76,
22.0,7.94,
23.0,7.77,
24.0,7.61,
25.0,7.44,
26.0,7.27,
27.0,7.11,
28.0,6.92,
29.0,6.76,
30.0,6.59,
31.0,6.42,
32.0,6.25,
33.0,6.08,
34.0,5.93,
35.0,5.75,
36.0,5.5,
37.0,5.34,
38.0,5.32,
39.0,5.34,
40.0,5.34,
41.0,5.44,
42.0,5.61,
43.0,5.62,
44.0,5.67,
45.0,5.99,
46.0,5.56,
47.0,5.66,
48.0,5.69,
49.0,5.73,
50.0,6.04,
51.0,7.7,
52.0,5.7,
53.0,5.96,
54.0,5.73,
55.0,5.84,
56.0,5.89,
57.0,5.9,
58.0,5.96,
59.0,6.37,
60.0,5.99,
61.0,6.1,
62.0,7.95,
63.0,6.66,
64.0,6.07,
65.0,6.17,
66.0,6.2,
67.0,6.13,
68.0,6.43,
69.0,6.22,
70.0,6.38,
71.0,6.41,
72.0,6.47,
73.1,6.61,
74.1,8.06,
75.1,6.53,
76.1,6.86,
77.1,6.55,
78.1,6.67,
79.1,6.7,
80.1,6.73,
81.1,7.0,
82.1,6.75,
83.1,6.84,
84.1,6.88,
85.1,7.79,
86.1,8.16,
87.1,6.95,
88.1,6.93,
89.1,7.1,
90.1,7.22,
91.1,6.95,
92.1,6.96,
93.1,6.96,
