# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,6.96,
1.0,6.91,
2.0,7.02,
3.0,7.03,
4.0,7.03,
5.0,7.03,
6.0,7.21,
7.0,7.24,
8.0,7.21,
9.0,7.07,
10.0,7.07,
11.0,7.1,
12.0,7.14,
13.0,7.18,
14.0,7.15,
15.0,7.77,
16.0,8.41,
17.0,7.15,
18.0,7.15,
19.0,7.46,
20.0,7.11,
21.0,7.18,
22.0,7.17,
23.0,7.2,
24.0,7.32,
25.0,7.12,
26.0,7.25,
27.0,7.64,
28.0,9.63,
29.0,7.51,
30.0,7.18,
31.0,7.15,
32.0,7.14,
33.0,7.05,
34.0,7.14,
35.0,7.1,
36.0,7.06,
37.0,6.93,
38.0,7.01,
39.0,7.0,
40.0,8.32,
41.0,8.09,
42.0,7.0,
43.0,6.99,
44.0,6.99,
45.0,7.01,
46.0,7.15,
47.0,6.91,
48.0,6.92,
49.0,6.98,
50.0,6.96,
51.0,7.74,
52.1,8.22,
53.1,6.97,
54.1,6.96,
55.1,7.13,
56.1,7.19,
57.1,8.25,
58.1,8.44,
59.1,8.81,
60.1,9.14,
61.1,9.11,
62.1,8.94,
63.1,8.36,
64.1,8.48,
65.1,8.01,
66.1,8.03,
67.1,7.99,
