# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,10.2,
1.0,8.32,
2.0,8.49,
3.0,8.54,
4.0,8.54,
5.0,8.58,
6.0,8.73,
7.0,6.76,
8.0,6.63,
9.0,6.52,
10.0,6.38,
11.0,6.28,
12.0,6.41,
13.0,6.54,
14.0,6.15,
15.0,5.98,
16.0,6.03,
17.0,6.06,
18.0,6.47,
19.0,6.13,
20.0,6.21,
21.0,6.21,
22.0,6.41,
23.0,7.66,
24.0,6.27,
25.0,6.42,
26.0,6.54,
27.0,6.34,
28.0,6.45,
29.0,6.49,
30.0,6.53,
31.0,6.56,
32.0,6.62,
33.0,7.1,
34.0,7.91,
35.0,6.68,
36.0,6.73,
37.0,6.86,
38.0,6.75,
39.0,6.86,
40.0,6.9,
41.0,6.92,
42.0,7.08,
43.0,6.97,
44.0,6.97,
45.0,9.17,
46.0,7.66,
47.0,7.05,
48.0,7.19,
49.0,7.2,
50.0,7.25,
51.0,7.48,
52.0,7.27,
53.0,7.34,
54.1,7.36,
55.1,7.4,
56.1,7.59,
57.1,8.7,
58.1,7.47,
59.1,7.47,
60.1,7.64,
61.1,7.79,
62.1,8.12,
63.1,9.52,
64.1,8.39,
65.1,8.22,
66.1,8.57,
67.1,8.92,
68.1,8.93,
69.1,8.93,
