# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,7.98,
1.0,7.94,
2.0,8.04,
3.0,8.39,
4.0,8.38,
5.0,8.34,
6.0,8.45,
7.0,8.57,
8.0,8.39,
9.0,6.26,
10.0,6.42,
11.0,6.42,
12.0,6.46,
13.0,6.71,
14.0,6.46,
15.0,6.57,
16.0,6.59,
17.0,6.61,
18.0,7.14,
19.0,7.97,
20.0,6.69,
21.0,6.71,
22.0,6.7,
23.0,6.72,
24.0,6.74,
25.0,6.79,
26.0,7.04,
27.0,6.81,
28.0,6.92,
29.0,6.96,
30.0,8.2,
31.0,8.15,
32.0,6.93,
33.0,7.16,
34.0,6.95,
35.0,6.96,
36.0,7.06,
37.0,7.07,
38.0,7.12,
39.0,7.39,
40.0,7.15,
41.0,7.26,
42.0,9.02,
43.0,7.42,
44.0,7.31,
45.0,7.32,
46.0,7.37,
47.0,7.49,
48.0,7.47,
49.0,7.58,
50.0,7.63,
51.0,7.65,
52.0,7.72,
53.0,7.89,
54.0,9.25,
55.0,8.09,
56.0,7.65,
57.0,7.83,
58.0,8.0,
59.0,8.11,
60.0,8.32,
61.0,8.55,
62.1,9.04,
63.1,9.52,
64.1,10.31,
65.1,10.63,
66.2,10.75,
67.2,10.63,
68.2,10.54,
69.2,10.54,
70.2,10.18,
71.2,10.85,
72.2,10.82,
73.2,9.73,
74.2,9.13,
75.2,9.16,
76.2,9.52,
77.2,9.21,
78.2,9.22,
79.2,9.56,
80.2,9.08,
81.2,10.26,
82.2,10.28,
83.3,10.35,
84.3,10.28,
85.3,10.23,
86.3,10.23,
