# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.7,
1.0,4.81,
2.0,5.01,
3.0,5.13,
4.0,5.17,
5.0,5.11,
6.0,5.07,
7.0,5.11,
8.0,5.1,
9.0,5.04,
10.0,5.16,
11.0,5.23,
12.0,5.22,
13.0,5.26,
14.0,5.31,
15.0,5.33,
16.0,5.56,
17.0,5.92,
18.0,6.32,
19.0,6.87,
20.1,7.34,
21.1,7.71,
22.1,7.76,
23.1,7.63,
24.1,7.5,
25.1,7.4,
26.1,7.42,
27.1,7.32,
28.1,7.38,
29.1,7.17,
30.1,7.25,
31.1,7.07,
32.1,6.9,
33.1,6.88,
34.1,6.86,
35.1,7.23,
36.1,6.85,
37.1,6.76,
38.1,7.21,
39.1,9.19,
40.1,6.94,
41.1,6.56,
42.1,6.6,
43.1,6.54,
44.1,6.8,
45.1,6.59,
46.1,6.54,
47.1,6.58,
48.1,6.53,
49.1,6.61,
50.1,6.58,
51.1,6.97,
52.1,7.83,
53.1,6.58,
54.1,6.52,
55.1,6.62,
56.1,6.61,
57.1,6.64,
58.1,6.58,
59.1,6.68,
60.1,6.66,
61.1,6.92,
62.1,6.56,
63.1,6.74,
64.1,7.5,
65.1,7.97,
66.1,6.72,
67.1,6.98,
68.1,6.74,
69.1,6.81,
70.1,6.84,
71.1,6.8,
72.1,6.89,
73.1,6.9,
74.1,7.17,
75.1,6.93,
76.1,7.03,
77.1,7.95,
78.1,8.32,
79.1,7.06,
80.1,7.11,
81.1,7.18,
82.1,7.31,
83.1,7.34,
84.1,7.12,
85.1,7.12,
86.1,7.12,
87.1,7.16,
