# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,2.72,
1.0,2.72,
2.0,2.72,
3.0,2.72,
4.0,2.72,
5.0,2.72,
6.0,2.73,
7.0,2.41,
8.0,1.31,
9.0,1.08,
10.0,1.19,
11.0,1.2,
12.1,1.25,
13.1,1.51,
14.1,1.34,
15.1,1.38,
16.1,1.4,
17.1,1.91,
18.1,2.68,
19.1,1.44,
20.1,1.56,
21.1,1.53,
22.1,1.54,
23.1,1.6,
24.1,1.56,
25.1,1.65,
26.1,1.66,
27.1,1.99,
28.1,1.72,
29.1,1.74,
30.1,2.58,
31.1,3.0,
32.1,1.76,
33.1,2.01,
34.1,1.78,
35.2,1.88,
36.2,1.9,
37.2,1.95,
38.2,1.92,
39.2,2.02,
40.2,2.03,
41.2,2.08,
42.2,2.15,
43.2,4.62,
44.2,2.36,
45.2,2.1,
46.2,2.21,
47.2,2.23,
48.2,2.48,
49.2,2.25,
50.2,2.36,
51.2,2.37,
52.2,2.44,
53.2,2.4,
54.2,2.5,
55.2,3.58,
56.2,3.38,
57.3,2.52,
58.3,2.53,
59.3,2.69,
60.3,2.83,
61.3,3.27,
62.3,5.13,
63.3,4.99,
64.3,4.89,
65.3,4.84,
66.3,4.69,
67.3,4.72,
68.3,4.11,
69.3,4.21,
70.3,4.08,
71.3,3.81,
72.3,3.81,
73.3,3.81,
