# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,9.01,
1.0,8.15,
2.0,8.29,
3.0,8.47,
4.0,8.71,
5.0,8.71,
6.0,8.71,
7.0,8.73,
8.0,9.0,
9.0,9.01,
10.0,7.26,
11.0,7.45,
12.0,7.65,
13.0,7.37,
14.0,7.35,
15.0,7.62,
16.0,7.38,
17.0,7.49,
18.0,7.51,
19.0,7.56,
20.0,7.54,
21.0,9.73,
22.0,8.19,
23.0,7.65,
24.0,7.69,
25.0,7.71,
26.0,8.11,
27.0,7.58,
28.0,7.7,
29.0,7.72,
30.0,7.77,
31.0,7.75,
32.0,7.86,
33.0,9.05,
34.0,7.81,
35.0,7.77,
36.0,7.8,
37.0,7.99,
38.0,7.83,
39.0,7.84,
40.0,7.77,
41.0,7.87,
42.0,7.98,
43.0,8.0,
44.0,8.28,
45.0,8.04,
46.0,10.25,
47.0,8.42,
48.0,8.06,
49.0,8.22,
50.0,8.18,
51.0,8.18,
52.0,8.3,
53.0,8.34,
54.0,8.38,
55.0,8.64,
56.0,8.4,
57.0,8.51,
58.0,9.83,
59.0,8.66,
60.0,8.57,
61.0,8.56,
62.0,8.69,
63.0,8.81,
64.0,8.86,
65.0,9.93,
66.0,10.55,
67.0,9.76,
68.0,8.14,
69.1,8.49,
70.1,9.11,
71.1,8.85,
72.1,8.85,
73.1,8.76,
74.1,8.83,
