# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,3.77,
1.0,3.77,
2.0,3.77,
3.0,3.77,
4.0,3.77,
5.0,3.77,
6.0,3.77,
7.0,4.1,
8.1,4.63,
9.1,4.94,
10.1,4.65,
11.1,4.72,
12.1,4.7,
13.1,4.6,
14.1,4.77,
15.1,4.72,
16.1,4.7,
17.1,4.7,
18.1,4.85,
19.1,6.86,
20.1,4.7,
21.1,4.37,
22.1,4.35,
23.1,4.38,
24.1,4.3,
25.1,4.37,
26.1,4.35,
27.1,4.49,
28.1,4.31,
29.2,4.38,
30.2,4.36,
31.2,4.98,
32.2,5.61,
33.2,4.31,
34.2,4.68,
35.2,4.25,
36.2,4.32,
37.2,4.3,
38.2,4.33,
39.2,4.24,
40.2,4.29,
41.2,4.28,
42.2,4.49,
43.2,4.3,
44.2,6.03,
45.3,4.4,
46.3,4.29,
47.3,4.27,
48.3,4.63,
49.3,4.22,
50.3,4.29,
51.3,4.27,
52.3,4.36,
53.3,4.29,
54.3,4.27,
55.3,4.27,
56.3,4.34,
57.3,6.76,
58.3,4.61,
59.3,4.17,
60.3,4.25,
61.3,4.44,
62.3,4.54,
63.3,4.61,
64.3,4.9,
65.3,5.16,
66.4,6.04,
67.4,7.2,
68.4,7.22,
69.4,7.32,
70.4,7.24,
71.4,7.17,
72.4,7.37,
73.4,7.08,
74.4,5.38,
75.4,5.47,
76.4,5.62,
77.4,5.49,
78.4,5.57,
79.4,6.06,
80.5,6.35,
81.5,6.2,
82.5,6.24,
83.5,6.7,
84.5,6.7,
85.5,7.43,
86.5,7.65,
87.5,7.67,
88.5,7.67,
