# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,0.92,
1.0,0.92,
2.0,0.92,
3.0,0.92,
4.0,0.92,
5.1,0.92,
6.1,0.92,
7.1,0.92,
8.1,1.02,
9.1,1.28,
10.1,1.41,
11.2,1.45,
12.2,1.47,
13.2,1.47,
14.2,1.47,
15.2,1.47,
16.2,1.47,
17.2,1.47,
18.3,1.47,
19.3,1.47,
20.3,1.47,
21.3,1.47,
22.3,1.47,
23.3,1.47,
24.3,1.47,
25.4,1.47,
26.4,1.47,
27.4,1.47,
28.4,1.47,
29.4,1.47,
30.4,1.51,
31.4,1.62,
32.5,1.67,
33.5,1.67,
34.5,1.67,
35.5,1.67,
36.5,1.67,
37.5,1.67,
42.4,1.67,
43.4,1.67,
44.4,1.67,
45.4,1.67,
46.5,1.67,
47.5,1.67,
48.5,1.67,
49.5,1.67,
50.5,1.67,
51.5,1.67,
52.5,1.67,
53.6,1.67,
54.6,1.67,
58.1,1.67,
59.1,1.67,
60.1,1.67,
61.1,1.67,
62.1,1.67,
63.1,1.67,
64.2,1.67,
65.2,1.67,
66.2,1.7,
67.2,1.71,
68.2,1.71,
69.2,1.72,
70.2,1.74,
71.3,1.76,
72.3,1.79,
73.3,6.43,
74.3,5.33,
75.3,2.85,
76.3,2.18,
77.3,2.64,
78.3,2.64,
79.4,2.64,
