# total_ram_gb=15.9
t,ram_gb,vram_gb
0.0,5.57,1.56
1.1,5.57,1.43
2.2,5.58,1.51
3.3,5.57,1.52
4.4,5.57,1.33
5.5,5.57,1.34
6.6,6.06,1.34
7.8,1.95,0.8
8.8,2.0,0.8
10.0,2.06,0.8
11.1,2.19,0.92
12.2,2.41,0.93
13.3,5.78,0.93
14.4,3.86,2.66
15.5,2.99,3.0
16.6,3.44,3.69
17.7,3.65,3.95
18.8,3.72,4.07
19.9,3.73,4.23
21.0,3.74,4.29
22.2,3.75,4.29
23.3,3.76,4.29
24.4,3.77,4.29
25.5,3.78,4.29
26.6,3.79,4.29
27.7,3.8,4.29
28.8,3.81,4.29
29.9,3.82,4.29
31.0,3.83,4.29
32.2,3.84,4.11
33.3,3.85,4.11
34.4,3.86,4.11
35.5,3.86,4.11
36.7,3.88,4.11
37.8,3.63,3.21
38.9,3.7,3.21
40.0,3.77,3.21
41.1,3.84,3.21
42.2,3.91,3.21
43.3,3.98,3.21
44.4,4.12,3.21
45.5,4.25,3.27
46.6,4.25,3.27
47.7,4.25,3.4
