# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.63,
1.0,4.7,
2.0,4.84,
3.0,4.9,
4.0,4.9,
5.0,4.9,
6.0,4.95,
7.0,4.95,
8.0,4.95,
9.0,5.39,
10.0,5.5,
11.0,5.56,
12.0,5.64,
13.0,5.78,
14.0,6.1,
15.0,6.43,
16.0,6.77,
17.0,7.1,
18.0,7.3,
19.0,7.63,
20.0,7.84,
21.0,7.98,
22.0,8.05,
23.0,7.89,
24.0,7.79,
25.0,7.71,
26.0,7.54,
27.0,7.37,
28.0,7.2,
29.0,7.03,
30.0,6.87,
31.0,6.7,
32.0,6.53,
33.0,6.37,
34.0,6.22,
35.0,6.13,
36.0,6.08,
37.0,6.01,
38.0,5.84,
39.0,5.84,
40.0,5.86,
41.0,5.87,
42.0,5.95,
43.0,5.97,
44.0,6.17,
45.0,6.13,
46.0,6.25,
47.0,6.18,
48.0,6.12,
49.0,6.14,
50.0,6.15,
51.0,6.22,
52.0,6.19,
53.0,6.38,
54.0,7.62,
55.0,7.34,
56.0,6.08,
57.0,6.43,
58.0,6.11,
59.0,6.14,
60.0,6.07,
61.0,6.05,
62.0,6.15,
63.0,6.0,
64.0,6.11,
65.0,6.13,
66.0,6.86,
67.0,7.44,
68.0,6.21,
69.0,6.26,
70.0,6.16,
71.0,6.46,
72.0,6.39,
73.1,6.43,
74.1,6.46,
75.1,6.48,
76.1,6.77,
77.1,6.54,
78.1,8.51,
79.1,6.6,
80.1,6.69,
81.1,6.77,
82.1,6.69,
83.1,6.8,
84.1,6.82,
85.1,6.88,
86.1,6.93,
87.1,7.08,
88.1,6.96,
89.1,9.46,
90.1,7.04,
91.1,7.04,
92.1,7.19,
93.1,7.36,
94.1,7.11,
95.1,7.14,
96.1,7.14,
