# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,7.14,
1.0,7.12,
2.0,7.26,
3.0,7.27,
4.0,7.26,
5.0,7.26,
6.0,7.29,
7.0,7.41,
8.0,7.47,
9.0,7.45,
10.0,7.45,
11.0,7.69,
12.0,7.4,
13.0,7.39,
14.0,7.47,
15.0,7.45,
16.0,8.37,
17.0,8.66,
18.0,7.32,
19.0,7.31,
20.0,7.2,
21.0,7.63,
22.0,7.23,
23.0,7.3,
24.0,7.3,
25.0,7.28,
26.0,7.27,
27.0,8.05,
28.0,8.53,
29.0,7.27,
30.0,7.27,
31.0,7.56,
32.0,7.15,
33.0,7.24,
34.0,7.24,
35.0,7.22,
36.0,7.22,
37.0,7.24,
38.0,7.37,
39.0,8.46,
40.0,7.21,
41.0,7.45,
42.0,7.17,
43.0,7.25,
44.0,7.25,
45.0,7.23,
46.0,7.24,
47.0,7.48,
48.0,7.19,
49.0,7.19,
50.0,9.51,
51.0,7.6,
52.0,7.15,
53.0,7.35,
54.0,7.47,
55.0,7.97,
56.0,9.25,
57.0,8.84,
58.0,8.66,
59.0,8.8,
60.0,9.09,
61.0,8.62,
62.0,8.8,
63.0,8.22,
64.0,8.24,
65.0,8.23,
66.0,8.24,
