# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,10.02,
1.0,8.25,
2.0,8.44,
3.0,8.64,
4.0,8.57,
5.0,8.58,
6.0,8.67,
7.0,6.9,
8.0,7.22,
9.0,7.22,
10.0,7.21,
11.0,7.21,
12.0,7.23,
13.0,7.09,
14.0,7.09,
15.0,7.08,
16.0,7.07,
17.0,7.07,
18.0,7.09,
19.0,7.09,
20.0,7.09,
21.0,7.38,
22.0,7.07,
23.0,7.1,
24.0,7.14,
25.0,7.19,
26.0,7.15,
27.0,7.15,
28.0,7.4,
29.0,7.47,
30.0,7.49,
31.0,7.57,
32.0,7.53,
33.0,7.52,
34.0,7.77,
35.0,7.54,
36.0,7.66,
37.0,7.66,
38.0,8.46,
39.0,8.95,
40.0,7.69,
41.0,7.95,
42.0,7.7,
43.0,7.67,
44.0,7.58,
45.0,7.49,
46.0,7.46,
47.0,7.47,
48.0,7.7,
49.0,7.37,
50.0,7.24,
51.0,7.9,
52.0,8.28,
53.0,6.99,
54.0,7.01,
55.0,7.07,
56.0,7.07,
57.0,7.07,
58.0,7.15,
59.0,7.18,
60.1,7.24,
61.1,7.35,
62.1,7.26,
63.1,9.38,
64.1,7.78,
65.1,7.34,
66.1,7.42,
67.1,7.44,
68.1,7.42,
69.1,7.77,
70.1,7.53,
71.1,7.63,
72.1,7.65,
73.1,7.74,
74.1,8.2,
75.1,9.01,
76.1,7.75,
77.1,7.77,
78.1,7.95,
79.1,8.11,
80.1,8.66,
81.1,9.77,
82.1,9.15,
83.1,9.0,
84.1,9.2,
85.1,9.23,
86.1,9.21,
