# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,8.23,
1.0,8.19,
2.0,8.29,
3.0,8.64,
4.0,8.58,
5.0,8.57,
6.0,8.69,
7.0,9.12,
8.0,9.53,
9.0,6.79,
10.0,6.71,
11.0,6.9,
12.0,6.71,
13.0,6.81,
14.0,6.83,
15.0,6.86,
16.0,6.88,
17.0,7.13,
18.0,6.84,
19.0,9.36,
20.0,6.94,
21.0,6.61,
22.0,6.62,
23.0,6.73,
24.0,6.75,
25.0,6.79,
26.0,6.94,
27.0,6.82,
28.0,6.95,
29.0,6.97,
30.0,8.16,
31.0,8.21,
32.0,6.82,
33.0,6.87,
34.0,6.91,
35.0,6.91,
36.0,7.01,
37.0,7.03,
38.0,7.09,
39.0,7.02,
40.0,7.12,
41.0,7.15,
42.0,8.16,
43.0,8.44,
44.0,7.21,
45.0,7.24,
46.0,7.22,
47.0,7.64,
48.0,7.33,
49.0,7.44,
50.0,7.48,
51.0,7.51,
52.0,7.57,
53.0,7.56,
54.0,9.94,
55.0,7.94,
56.0,7.59,
57.0,7.76,
58.0,7.85,
59.0,8.0,
60.0,8.25,
61.0,8.55,
62.0,9.44,
63.0,10.61,
64.0,10.73,
65.0,10.18,
66.0,10.69,
67.0,10.47,
68.0,10.7,
69.0,9.67,
70.0,8.94,
71.0,8.78,
72.0,8.98,
73.0,8.82,
74.0,8.97,
75.0,9.55,
76.0,10.38,
77.0,10.22,
78.1,10.11,
79.1,10.1,
