# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.82,
1.0,4.83,
2.0,4.98,
3.0,5.07,
4.0,5.03,
5.0,4.97,
6.0,5.01,
7.0,4.99,
8.0,4.99,
9.0,5.0,
10.0,5.46,
11.0,5.55,
12.0,5.57,
13.0,5.64,
14.0,5.7,
15.0,5.8,
16.0,6.04,
17.0,6.29,
18.0,6.53,
19.0,6.77,
20.0,6.98,
21.0,7.2,
22.0,7.39,
23.0,7.52,
24.0,7.78,
25.0,7.77,
26.0,7.63,
27.0,7.3,
28.0,7.02,
29.0,6.67,
30.0,6.34,
31.0,6.36,
32.0,6.49,
33.0,6.46,
34.0,6.55,
35.0,6.5,
36.0,6.47,
37.0,6.44,
38.1,6.47,
39.1,6.46,
40.1,6.57,
41.1,6.68,
42.1,6.71,
43.1,6.68,
44.1,6.71,
45.1,6.75,
46.1,6.93,
47.1,6.63,
48.1,6.56,
49.1,7.93,
50.1,7.8,
51.1,6.55,
52.1,6.53,
53.1,6.5,
54.1,6.58,
55.1,6.73,
56.1,7.03,
57.1,6.95,
58.1,6.71,
59.1,6.71,
60.1,8.81,
61.1,6.76,
62.1,6.8,
63.1,6.84,
64.1,6.89,
65.1,6.94,
66.1,6.99,
67.1,7.04,
68.1,7.15,
69.1,7.11,
70.1,8.07,
71.1,8.38,
72.1,6.87,
73.1,6.94,
74.1,7.05,
75.1,7.09,
76.1,7.21,
77.1,7.26,
78.1,7.69,
79.1,7.43,
80.1,7.35,
81.1,9.38,
82.1,7.81,
83.1,7.45,
84.1,7.41,
85.1,7.62,
86.1,7.72,
87.1,7.49,
88.1,7.49,
89.1,7.49,
