# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,7.77,
1.0,7.45,
2.0,7.65,
3.0,7.78,
4.0,7.79,
5.0,7.79,
6.0,7.79,
7.0,7.98,
8.0,8.07,
9.0,8.07,
10.0,8.06,
11.0,7.92,
12.0,7.87,
13.0,7.93,
14.0,7.92,
15.0,7.87,
16.0,7.94,
17.0,7.91,
18.0,7.86,
19.0,9.2,
20.0,9.79,
21.0,8.58,
22.0,7.96,
23.0,7.91,
24.0,7.85,
25.0,7.92,
26.0,7.89,
27.0,7.85,
28.0,7.88,
29.0,7.82,
30.0,7.89,
31.0,7.78,
32.0,7.83,
33.0,7.81,
34.0,7.75,
35.0,9.46,
36.0,9.03,
37.1,7.74,
38.1,7.68,
39.1,7.73,
40.1,7.93,
41.1,7.68,
42.1,7.7,
43.1,7.94,
44.1,7.7,
45.1,7.68,
46.1,7.91,
47.1,7.7,
48.1,7.68,
49.1,7.98,
50.1,10.07,
51.1,8.11,
52.1,7.58,
53.1,7.57,
54.1,7.71,
55.1,7.59,
56.1,7.56,
57.1,7.66,
58.1,7.59,
59.1,7.57,
60.1,7.5,
61.1,7.57,
62.1,7.54,
63.1,7.49,
64.1,9.41,
65.1,7.5,
66.1,7.44,
67.1,7.37,
68.1,7.55,
69.1,7.62,
70.1,7.64,
71.1,8.71,
72.1,8.98,
73.1,8.83,
74.1,9.42,
75.1,10.04,
76.1,9.54,
77.1,9.32,
78.1,8.91,
79.1,8.97,
80.1,8.97,
81.1,8.51,
82.1,8.51,
83.1,8.49,
84.1,8.49,
85.1,8.55,
