# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,6.71,
1.0,5.8,
2.0,5.79,
3.0,5.79,
4.1,5.79,
5.1,5.79,
6.1,5.8,
7.1,5.8,
8.1,6.02,
9.1,1.28,
10.1,1.46,
11.1,1.66,
12.1,1.68,
13.1,1.69,
14.1,1.69,
15.1,1.69,
16.1,1.69,
17.1,1.69,
18.1,1.69,
19.1,1.69,
20.1,1.69,
21.1,1.7,
22.1,1.7,
23.1,1.7,
24.1,1.7,
25.1,1.7,
26.2,1.71,
27.2,1.73,
28.2,1.74,
29.2,1.74,
30.2,1.75,
31.2,1.77,
32.2,1.78,
33.2,1.8,
34.2,1.83,
35.2,1.62,
36.2,1.51,
37.2,1.53,
38.2,1.54,
39.2,1.55,
40.2,1.55,
41.2,1.59,
42.2,2.3,
43.2,2.21,
44.2,2.31,
45.2,2.35,
46.3,2.28,
47.3,2.39,
48.3,2.52,
49.3,2.47,
50.3,2.37,
51.3,2.47,
52.3,2.54,
53.3,2.8,
54.3,2.63,
55.3,3.58,
56.3,3.88,
57.3,2.64,
58.3,2.68,
59.3,2.7,
60.3,3.13,
61.3,2.79,
62.3,2.81,
63.3,2.73,
64.3,2.83,
65.4,2.9,
66.4,3.16,
67.4,2.99,
68.4,3.0,
69.4,2.98,
70.4,4.82,
71.4,4.3,
72.4,3.05,
73.4,3.03,
74.4,3.13,
75.4,3.23,
76.4,3.19,
77.4,3.21,
78.4,3.38,
79.4,3.29,
80.4,3.31,
81.4,3.29,
82.4,3.38,
83.5,3.42,
84.5,3.45,
85.5,4.59,
86.5,4.7,
87.5,3.46,
88.5,3.88,
89.5,3.49,
90.5,3.57,
91.5,3.83,
92.5,3.65,
93.5,3.67,
94.5,3.73,
95.5,3.75,
96.5,3.68,
97.5,3.75,
98.5,3.82,
99.5,4.32,
100.5,5.41,
101.6,4.19,
102.6,3.91,
103.6,3.89,
104.6,4.07,
105.6,4.16,
106.6,4.15,
107.6,4.63,
108.6,5.67,
109.6,4.77,
110.6,4.61,
111.6,4.73,
112.6,4.62,
113.6,4.62,
114.6,4.61,
