# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.62,
1.0,4.61,
2.0,4.61,
3.0,4.6,
4.1,4.6,
5.1,4.59,
6.1,4.59,
7.1,5.16,
8.1,5.25,
9.1,5.39,
10.1,5.5,
11.1,5.52,
12.1,5.44,
13.1,5.49,
14.1,5.73,
15.1,5.51,
16.1,5.49,
17.1,5.72,
18.1,5.38,
19.1,5.48,
20.1,5.85,
21.2,7.9,
22.2,5.56,
23.2,5.0,
24.2,4.98,
25.2,5.26,
26.2,5.01,
27.2,4.99,
28.2,5.02,
29.2,4.95,
30.2,5.02,
31.2,5.0,
32.2,5.36,
33.2,5.01,
34.2,6.25,
35.2,5.57,
36.2,4.99,
37.2,4.91,
38.2,5.0,
39.3,5.01,
40.3,4.99,
41.3,5.03,
42.3,4.94,
43.3,5.01,
44.3,4.99,
45.3,5.22,
46.3,5.01,
47.3,6.24,
48.3,5.69,
49.3,4.99,
50.3,5.01,
51.3,4.93,
52.3,5.0,
53.3,4.98,
54.3,5.23,
55.3,4.93,
56.3,5.0,
57.3,4.99,
58.3,5.24,
59.3,5.02,
60.4,6.39,
61.4,5.51,
62.4,5.02,
63.4,4.98,
64.4,5.12,
65.4,5.22,
66.4,5.31,
67.4,5.56,
68.4,5.79,
69.4,6.8,
70.4,7.28,
71.5,7.92,
72.5,8.13,
73.5,8.06,
74.5,7.98,
75.5,7.95,
76.5,7.58,
77.5,7.54,
78.5,6.75,
79.5,5.64,
80.5,5.71,
81.5,5.81,
82.5,6.0,
83.5,6.35,
84.5,6.6,
85.5,6.36,
86.5,7.02,
87.5,6.8,
88.6,7.73,
89.6,7.99,
90.6,8.0,
91.6,8.0,
