# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,0.9,
1.0,0.9,
2.0,0.9,
3.0,0.9,
4.1,0.9,
5.1,0.9,
6.1,0.9,
7.1,0.9,
8.1,0.99,
9.1,1.35,
10.1,1.42,
11.2,1.45,
12.2,1.46,
13.2,1.46,
14.2,1.46,
15.2,1.46,
16.2,1.46,
17.2,1.46,
18.3,1.46,
19.3,1.46,
20.3,1.46,
21.3,1.46,
22.3,1.46,
23.3,1.46,
24.3,1.46,
25.3,1.46,
26.4,1.46,
27.4,1.46,
28.4,1.46,
29.4,1.48,
30.4,1.52,
31.4,1.66,
32.4,1.67,
33.5,1.67,
34.5,1.66,
35.5,1.67,
36.5,1.66,
37.5,1.67,
38.5,1.67,
39.5,1.67,
40.5,1.67,
41.5,1.67,
42.5,1.67,
43.6,1.67,
44.6,1.67,
45.6,1.67,
46.6,1.67,
47.6,1.67,
48.6,1.67,
49.7,1.67,
50.7,1.67,
51.7,1.67,
52.7,1.67,
53.7,1.67,
54.7,1.67,
55.7,1.67,
56.7,1.67,
57.8,1.67,
58.8,1.67,
59.8,1.67,
60.8,1.67,
61.8,1.67,
62.8,1.67,
63.8,1.67,
64.9,1.67,
65.9,1.67,
66.9,1.66,
67.9,1.68,
68.9,1.69,
69.9,1.7,
70.9,1.71,
72.0,1.73,
73.0,1.73,
74.0,1.77,
75.0,6.41,
76.0,5.54,
77.0,3.19,
78.0,2.14,
79.0,2.6,
80.1,2.6,
81.1,2.6,
