# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,4.52,0.83
1.1,4.52,0.83
2.3,4.52,0.84
3.4,4.52,0.85
4.6,4.52,0.85
5.7,4.52,0.85
6.8,1.28,0.48
8.0,1.72,0.48
9.1,1.78,0.48
10.2,1.83,0.48
11.4,1.88,0.52
12.5,2.52,0.58
13.6,2.36,0.74
14.8,2.41,0.74
15.9,3.03,1.54
17.0,4.99,3.47
18.2,2.61,4.04
19.3,2.82,4.37
20.5,3.01,4.59
21.6,5.31,4.62
23.0,6.06,4.62
24.2,6.05,4.62
25.4,5.09,4.31
26.6,4.98,4.31
27.7,4.98,4.31
28.8,4.84,4.32
30.0,4.87,4.32
31.1,5.37,4.32
32.2,5.29,4.32
33.4,5.2,4.32
34.5,5.43,4.32
35.6,6.48,4.32
36.8,6.47,4.32
37.9,6.47,4.52
39.1,6.47,4.29
