# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,5.86,
1.0,5.86,
2.0,5.86,
3.0,5.86,
4.1,5.87,
5.1,5.87,
6.1,5.87,
7.1,5.87,
8.1,6.26,
9.1,6.36,
10.1,2.2,
11.2,2.3,
12.2,2.33,
13.2,2.39,
14.2,2.16,
15.2,2.35,
16.2,2.4,
17.2,2.46,
18.2,7.09,
19.3,5.7,
20.3,2.77,
21.3,3.12,
22.3,3.42,
23.3,3.59,
24.3,3.67,
25.4,3.68,
26.4,3.69,
27.4,3.7,
28.4,3.71,
29.4,3.71,
30.4,3.72,
31.4,3.73,
32.4,3.74,
33.5,3.75,
34.5,3.76,
35.5,3.77,
36.5,3.78,
37.5,3.79,
38.5,3.8,
39.5,3.81,
40.6,3.81,
41.6,3.82,
42.6,3.87,
43.6,3.92,
44.6,3.95,
45.6,3.97,
46.6,4.0,
47.7,4.03,
48.7,4.06,
49.7,4.1,
50.7,4.13,
51.7,4.16,
52.7,4.18,
53.8,4.21,
54.8,4.25,
55.8,4.28,
56.8,4.31,
57.8,4.45,
58.8,4.54,
59.9,4.53,
60.9,4.53,
61.9,4.53,
